[oracle] loaded llada; hidden_dim=4096
[oracle] llada/gsm8k prompts=10 buf=20 elapsed=67s
[oracle] llada/gsm8k prompts=20 buf=40 elapsed=129s
[oracle] llada/gsm8k prompts=30 buf=60 elapsed=191s
[oracle] llada/gsm8k prompts=40 buf=80 elapsed=252s
[oracle] llada/gsm8k prompts=50 buf=100 elapsed=313s
[oracle] llada/gsm8k prompts=60 buf=120 elapsed=375s
[oracle] llada/gsm8k prompts=70 buf=140 elapsed=437s
[oracle] llada/gsm8k prompts=80 buf=160 elapsed=496s
[oracle] llada/gsm8k prompts=90 buf=180 elapsed=557s
[oracle] llada/gsm8k prompts=100 buf=200 elapsed=618s
[oracle] llada/gsm8k prompts=110 buf=220 elapsed=679s
[oracle] llada/gsm8k prompts=120 buf=240 elapsed=739s
[oracle] llada/gsm8k prompts=130 buf=260 elapsed=799s
[oracle] llada/gsm8k prompts=140 buf=280 elapsed=859s
[oracle] llada/gsm8k prompts=150 buf=300 elapsed=918s
[oracle] llada/gsm8k prompts=160 buf=320 elapsed=977s
[oracle] llada/gsm8k prompts=170 buf=340 elapsed=1037s
[oracle] llada/gsm8k prompts=180 buf=360 elapsed=1096s
[oracle] llada/gsm8k prompts=190 buf=380 elapsed=1155s
[oracle] llada/gsm8k prompts=200 buf=400 elapsed=1212s
[oracle] llada/gsm8k prompts=210 buf=420 elapsed=1271s
[oracle] llada/gsm8k prompts=220 buf=440 elapsed=1329s
[oracle] llada/gsm8k prompts=230 buf=460 elapsed=1388s
[oracle] llada/gsm8k prompts=240 buf=480 elapsed=1447s
[oracle] llada/gsm8k prompts=250 buf=500 elapsed=1505s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000000.pt (512 examples)
[oracle] llada/gsm8k prompts=260 buf=8 elapsed=1562s
[oracle] llada/gsm8k prompts=270 buf=28 elapsed=1620s
[oracle] llada/gsm8k prompts=280 buf=48 elapsed=1677s
[oracle] llada/gsm8k prompts=290 buf=68 elapsed=1735s
