[oracle] loaded llada; hidden_dim=4096
[oracle] llada/gsm8k prompts=10 buf=20 elapsed=64s
[oracle] llada/gsm8k prompts=20 buf=40 elapsed=124s
[oracle] llada/gsm8k prompts=30 buf=60 elapsed=184s
[oracle] llada/gsm8k prompts=40 buf=80 elapsed=243s
[oracle] llada/gsm8k prompts=50 buf=100 elapsed=302s
[oracle] llada/gsm8k prompts=60 buf=120 elapsed=361s
[oracle] llada/gsm8k prompts=70 buf=140 elapsed=420s
[oracle] llada/gsm8k prompts=80 buf=160 elapsed=479s
[oracle] llada/gsm8k prompts=90 buf=180 elapsed=538s
[oracle] llada/gsm8k prompts=100 buf=200 elapsed=598s
[oracle] llada/gsm8k prompts=110 buf=220 elapsed=658s
[oracle] llada/gsm8k prompts=120 buf=240 elapsed=717s
[oracle] llada/gsm8k prompts=130 buf=260 elapsed=776s
[oracle] llada/gsm8k prompts=140 buf=280 elapsed=835s
[oracle] llada/gsm8k prompts=150 buf=300 elapsed=894s
[oracle] llada/gsm8k prompts=160 buf=320 elapsed=952s
[oracle] llada/gsm8k prompts=170 buf=340 elapsed=1011s
[oracle] llada/gsm8k prompts=180 buf=360 elapsed=1069s
[oracle] llada/gsm8k prompts=190 buf=380 elapsed=1127s
[oracle] llada/gsm8k prompts=200 buf=400 elapsed=1184s
[oracle] llada/gsm8k prompts=210 buf=420 elapsed=1241s
[oracle] llada/gsm8k prompts=220 buf=440 elapsed=1298s
[oracle] llada/gsm8k prompts=230 buf=460 elapsed=1355s
[oracle] llada/gsm8k prompts=240 buf=480 elapsed=1413s
[oracle] llada/gsm8k prompts=250 buf=500 elapsed=1470s
[oracle] wrote shard /scratch/ab13091/Efficient-AI/labels/oracle/llada/gsm8k/oracle_000000.pt (512 examples)
[oracle] llada/gsm8k prompts=260 buf=8 elapsed=1527s
[oracle] llada/gsm8k prompts=270 buf=28 elapsed=1584s
[oracle] llada/gsm8k prompts=280 buf=48 elapsed=1640s
[oracle] llada/gsm8k prompts=290 buf=68 elapsed=1696s
